trial,failed,cause,disp_r_R_m,disp_r_T_m,disp_r_N_m,disp_v_R_mps,disp_v_T_mps,disp_v_N_mps,disp_r_norm_m,disp_v_norm_mps,predicted_miss_m,t_closest_s,min_range_m,r_cor_entry_t_s,r_cor_entry_speed_mps,dv_tag_total_mps,dv_node_total_mps,tag_ddm_duty,tag_medt_duty,tag_sat_cmd_frac,terminal_sat_frac,terminal_sat_steps,terminal_steps
435,True,no_R_COR_large_alongtrack_velocity_dispersion,-15.71092822731729,-160.44055194277263,-8.93914289508485,0.004666730245082681,0.04250796738496104,-0.0009410065971458548,161.45560457650328,0.04277372038760661,7.455410029308222e-05,6860.0,11.747804975454107,nan,nan,0.19382730704161896,0.0,0.5968077723802915,1.0,0.12005551700208189,0.0,0,0
437,True,no_R_COR_moderate_coupled_dispersion,-42.795464328169096,146.86719923866696,16.35965894909485,0.0005918611340287941,-0.03241495106797996,-0.00511830882171739,153.84753628253065,0.0328218896094661,7.455410029308222e-05,6925.0,10.896233794503656,nan,nan,0.8832309871250115,0.0,0.3414295628036086,1.0,0.1963913948646773,0.0,0,0
456,True,no_R_COR_large_alongtrack_position_dispersion,-49.65937707245125,154.2457883701959,-6.428726214877226,-0.017640448310137443,0.008165505332349901,-0.0009675902691964142,162.17011278874108,0.019462711138079125,7.455410029308222e-05,6945.0,14.015401026002285,nan,nan,0.7563996644005553,0.0,0.43789035392088826,1.0,0.15128383067314366,0.0,0,0
462,True,no_R_COR_moderate_coupled_dispersion,43.68799802569018,-99.73506436256385,-19.894424507545875,0.010419513779766708,-0.006652783448070854,0.0034451056672461875,110.68655004734724,0.01283333737077638,7.455410029308222e-05,6920.0,15.882903260699061,nan,nan,0.7834122984920859,0.0,0.4170714781401804,1.0,0.24635669673837612,0.0,0,0
464,True,no_R_COR_moderate_coupled_dispersion,48.149002593247545,-24.637487242033814,12.830139280131306,0.002862711916225051,0.0033176042806681086,-0.008793252220524525,55.58727104538867,0.009824606979017724,7.455410029308222e-05,6780.0,53.94954458814946,nan,nan,0.7318892791895713,0.0,0.30811936155447606,1.0,0.27966689798750866,0.0,0,0
473,True,no_R_COR_large_alongtrack_velocity_dispersion,-9.803110959658532,-139.75614146481178,5.764342498315255,-0.008125653014224085,-0.043211395070833825,0.0020659202259400364,140.21807196669673,0.04401725715279405,7.455410029308222e-05,6870.0,12.621392682055038,nan,nan,0.35074834064085897,0.0,0.4718945176960444,1.0,0.12421929215822346,0.0,0,0
498,True,no_R_COR_large_alongtrack_position_dispersion,46.23433077159048,-183.58024727680484,-4.886405815879762,-0.013724408526347577,0.019393803273761195,0.005642785981594086,189.37581021320307,0.024419664789949662,7.455410029308222e-05,6635.0,76.41810567113613,nan,nan,0.7909751181840188,0.0,0.7161693268563497,1.0,0.3164469118667592,0.0,0,0
528,True,no_R_COR_moderate_coupled_dispersion,39.07122703607878,-120.93714327215102,14.769641191593735,-0.0005291283664454263,-0.0035970332091148846,-0.002675258013659711,127.94723797668327,0.004513937325141216,7.455410029308222e-05,6900.0,11.64256221624887,nan,nan,0.7465347332489035,0.0,0.6335877862595419,1.0,0.14226231783483692,0.0,0,0
534,True,no_R_COR_large_alongtrack_position_dispersion,47.531508728195945,-198.67274002423363,-9.485199774679218,0.0177612671079156,-0.0023689347930461943,-0.007090930235989694,204.49956226232092,0.019270592957771233,7.455410029308222e-05,6630.0,69.04521759970564,nan,nan,0.7255679400971115,0.0,0.3039555863983345,1.0,0.27203331020124916,0.0,0,0
535,True,no_R_COR_large_alongtrack_velocity_dispersion,49.35480852677591,-119.02163745396153,14.319496832524123,-0.013415611702129265,-0.047255041884995824,0.0013039991720648972,129.64218177920966,0.049139780572727054,7.455410029308222e-05,6885.0,17.340008728626653,nan,nan,0.6828123468365157,0.0,0.7335183900069396,1.0,0.22761970853573907,0.0,0,0
543,True,no_R_COR_large_alongtrack_velocity_dispersion,49.26597514412764,-12.603596843046688,16.481441941254793,-0.009609307502289072,0.049456184501055545,0.0001609553237120094,53.456757185100656,0.05038133466565001,7.455410029308222e-05,6510.0,97.68130460220681,nan,nan,0.8215184789094456,0.0,0.28521859819569745,1.0,0.34004163775156143,0.0,0,0
548,True,no_R_COR_moderate_coupled_dispersion,49.87446104875056,-32.26909368361933,-1.63748238282162,0.004188569661116786,0.0006890474306500138,-0.009978615646486338,59.4259002508131,0.010843969401838762,7.455410029308222e-05,6800.0,47.31596079539548,nan,nan,0.7518903942236725,0.0,0.30950728660652327,1.0,0.2741151977793199,0.0,0,0
557,True,no_R_COR_large_alongtrack_velocity_dispersion,37.77633241036355,-85.28824421295549,-14.759681250425762,-0.0019925972080617645,0.03981665309911757,0.0018029427809196311,94.44037315640588,0.03990722879780447,7.455410029308222e-05,6815.0,43.746366908402486,nan,nan,0.8332444271384652,0.0,0.5579458709229702,1.0,0.3157529493407356,0.0,0,0
570,True,no_R_COR_large_alongtrack_velocity_dispersion,-37.17085797686666,127.43230608505888,-19.530028303287867,-0.0035467715424740733,-0.038525162509176904,0.004451350530207024,134.17185741585212,0.03894332107404,7.455410029308222e-05,6940.0,11.055776845827275,nan,nan,0.8758331907199439,0.0,0.38792505204718947,1.0,0.19569743233865372,0.0,0,0
572,True,no_R_COR_large_alongtrack_velocity_dispersion,-46.731673225906874,190.7384741856946,15.403317792082703,-0.017345720881265174,-0.035931098670885925,0.006174070785109979,196.98293585025002,0.04037371712695337,7.455410029308222e-05,6940.0,15.357601374598737,nan,nan,0.8565445222056749,0.0,0.7251908396946565,1.0,0.2338653712699514,0.0,0,0
635,True,no_R_COR_large_alongtrack_velocity_dispersion,-6.844333358263732,-118.53993806679522,-4.764425048055569,-0.017757757441256156,-0.04241984683927709,-0.004028414310264539,118.83291447253671,0.04616285819861417,7.455410029308222e-05,6870.0,11.359910207549284,nan,nan,0.35930933563913625,0.0,0.4302567661346287,1.0,0.12005551700208189,0.0,0,0
643,True,no_R_COR_large_alongtrack_position_dispersion,3.028959230833891,-190.55581127805738,-3.7882650868960326,0.004187978956879203,-0.028035786885700145,0.001839285217502245,190.6175300391579,0.028406469054688608,7.455410029308222e-05,6860.0,12.416194058581905,nan,nan,0.15133054677132166,0.0,0.5170020818875781,1.0,0.12074947952810548,0.0,0,0
655,True,no_R_COR_large_alongtrack_velocity_dispersion,-49.635250605089276,-73.86370519727974,18.763650498986486,-0.0017637413369517192,-0.03543731469398112,-0.009820620292212048,90.94822498624579,0.03681519576408266,7.455410029308222e-05,6935.0,13.226759686180449,nan,nan,1.0704032841584188,0.0,0.5579458709229702,1.0,0.238029146426093,0.0,0,0
666,True,no_R_COR_moderate_coupled_dispersion,-45.63305908223845,104.28969269703987,16.113974070529878,-0.004984802493810281,-0.03181146122448486,0.007108088587676963,114.9711974556749,0.032974872926358104,7.455410029308222e-05,6925.0,11.585719514646211,nan,nan,0.8730182313491399,0.0,0.6745315752949341,1.0,0.1963913948646773,0.0,0,0
668,True,no_R_COR_large_alongtrack_velocity_dispersion,41.410339780495946,113.02212298422603,18.625332616978632,-0.008569988861244835,0.04102234309197417,-0.0015145032139534977,121.80196853783082,0.041935319979971256,7.455410029308222e-05,6850.0,42.98348340963847,nan,nan,0.7801585673467266,0.0,0.39555863983344897,1.0,0.32130464954892435,0.0,0,0
669,True,no_R_COR_moderate_coupled_dispersion,-41.80334301552479,146.87830865190705,-2.3454503663699313,0.007016473933555908,-0.03342617786731453,0.006693271660446068,152.7293625244982,0.03480431235921991,7.455410029308222e-05,6935.0,11.670741465770885,nan,nan,0.8892788653852762,0.0,0.3795975017349063,1.0,0.19569743233865372,0.0,0,0
674,True,no_R_COR_large_alongtrack_velocity_dispersion,-44.06365590203224,-40.828205268716744,-9.91304822966185,-0.010953478443690585,-0.04373920711507784,-0.006841630745279841,60.883631972154646,0.04560597373510217,7.455410029308222e-05,6930.0,14.559336301694138,nan,nan,1.082927999987628,0.0,0.5579458709229702,1.0,0.238029146426093,0.0,0,0
675,True,no_R_COR_moderate_coupled_dispersion,41.93550211418447,8.503309926184102,10.406654116050827,-0.006774417408885252,0.026605236347545927,0.008019260278568007,44.036247196606446,0.02860139625532301,7.455410029308222e-05,6745.0,59.78545610391694,nan,nan,0.9294042562681297,0.0,0.30881332408049966,1.0,0.36224843858431643,0.0,0,0
676,True,no_R_COR_moderate_coupled_dispersion,42.65122355202389,-4.467433813114013,6.140574300013707,-0.0036899173300998372,0.011186863027789332,0.0013762635750759738,43.321951572998884,0.011859826968955824,7.455410029308222e-05,6865.0,36.98535560186553,nan,nan,1.0239016774066902,0.0,0.30881332408049966,1.0,0.31228313671061764,0.0,0,0
688,True,no_R_COR_moderate_coupled_dispersion,-45.36752822219522,63.265889157014556,-6.41945315888111,-0.00010942408520155447,-0.021380772033254426,0.0012750331017381458,78.1152656442926,0.0214190358274817,7.455410029308222e-05,6935.0,11.965703748329213,nan,nan,0.8693388010054384,0.0,0.42470506592644,1.0,0.1963913948646773,0.0,0,0
703,True,no_R_COR_large_alongtrack_velocity_dispersion,48.80363267125732,-101.4901615612629,12.265679656910791,-0.010114974376702347,-0.04206327029308941,0.008613469696272974,113.2806000738353,0.044111486878130234,7.455410029308222e-05,6860.0,29.52741016485042,nan,nan,0.680332399208895,0.0,0.7120055517002082,1.0,0.28383067314365024,0.0,0,0
709,True,no_R_COR_moderate_coupled_dispersion,45.760494901465876,-122.57211670600809,12.273228458713149,0.004561345075551278,0.022821138851756614,0.0016311443480663372,131.40996470670754,0.023329613783207814,7.455410029308222e-05,6590.0,89.46459268015956,nan,nan,0.7422621236168929,0.0,0.5829285218598196,1.0,0.30881332408049966,0.0,0,0
727,True,no_R_COR_moderate_coupled_dispersion,42.88475633119313,-52.254842607769405,13.955824409634097,-0.01928758289114727,0.0212471410819228,0.009735339705949192,69.02489360007085,0.03030228864505517,7.455410029308222e-05,6815.0,50.38029723285587,nan,nan,0.7909815125111753,0.0,0.6828591256072172,1.0,0.3157529493407356,0.0,0,0
733,True,no_R_COR_large_alongtrack_position_dispersion,-38.98099635804301,163.68879149105982,-7.305458406124021,-0.010637599788285114,-0.03465672834572502,-0.005274846615998188,168.42478516950237,0.036634292073239406,7.455410029308222e-05,6945.0,12.297698427951788,nan,nan,0.8662330261677296,0.0,0.3462873004857738,1.0,0.19430950728660654,0.0,0,0
746,True,no_R_COR_large_alongtrack_velocity_dispersion,38.65500569861908,68.36131714893122,-5.523584222259238,-0.0013659342787532766,0.04605051249911321,-0.002231475517317525,78.72730867086352,0.04612477599803865,7.455410029308222e-05,6915.0,28.72172318485343,nan,nan,1.1802952569185985,0.0,0.2963219986120749,1.0,0.36363636363636365,0.0,0,0
763,True,no_R_COR_moderate_coupled_dispersion,31.983702169982166,-127.83008024907359,-6.1194039931851485,-0.000779837952837252,0.030493873031507635,0.0018602664643312377,131.91259881533122,0.030560514246535667,7.455410029308222e-05,6895.0,12.785351316883919,nan,nan,0.855980010849437,0.0,0.6252602359472589,1.0,0.16585704371963914,0.0,0,0
